Belgie;;;
Gew.Brussel;Belgie;;
Vlaanderen;Belgie;;
Wallonie;Belgie;;
Henegouwen;Wallonie;;
Limburg;Vlaanderen;;
Luik;Wallonie;;
Luxemburg;Wallonie;;
Namen;Wallonie;;
Oost-Vlaanderen;Vlaanderen;;
Prov.Antwerpen;Vlaanderen;;
Vlaams-Brabant;Vlaanderen;;
Waals-Brabant;Wallonie;;
West-Vlaanderen;Vlaanderen;;
Arr.Aalst;Oost-Vlaanderen;;
Arr.Antwerpen;Prov.Antwerpen;;
Arr.Arlon;Luxemburg;;
Arr.Ath;Henegouwen;;
Arr.Bastogne;Luxemburg;;
Arr.Brugge;West-Vlaanderen;;
Arr.Charleroi;Henegouwen;;
Arr.Dendermonde;Oost-Vlaanderen;;
Arr.Diksmuide;West-Vlaanderen;;
Arr.Dinant;Namen;;
Arr.Eeklo;Oost-Vlaanderen;;
Arr.Gent;Oost-Vlaanderen;;
Arr.Halle-Vilvoorde;Vlaams-Brabant;;
Arr.Hasselt;Limburg;;
Arr.Huy;Luik;;
Arr.Ieper;West-Vlaanderen;;
Arr.Kortrijk;West-Vlaanderen;;
Arr.Leuven;Vlaams-Brabant;;
Arr.Liege;Luik;;
Arr.Maaseik;Limburg;;
Arr.Marche-en-Famenne;Luxemburg;;
Arr.Mechelen;Prov.Antwerpen;;
Arr.Mons;Henegouwen;;
Arr.Mouscron;Henegouwen;;
Arr.Namur;Namen;;
Arr.Neufchateau;Luxemburg;;
Arr.Nivelles;Waals-Brabant;;
Arr.Oostende;West-Vlaanderen;;
Arr.Oudenaarde;Oost-Vlaanderen;;
Arr.Philippeville;Namen;;
Arr.Roeselare;West-Vlaanderen;;
Arr.Sint-Niklaas;Oost-Vlaanderen;;
Arr.Soignies;Henegouwen;;
Arr.Thuin;Henegouwen;;
Arr.Tielt;West-Vlaanderen;;
Arr.Tongeren;Limburg;;
Arr.Tournai;Henegouwen;;
Arr.Turnhout;Prov.Antwerpen;;
Arr.Verviers;Luik;;
Arr.Veurne;West-Vlaanderen;;
Arr.Virton;Luxemburg;;
Arr.Waremme;Luik;;
Aalst;Arr.Aalst;77123;78.12
Aalter;Arr.Gent;18707;81.92
Aarschot;Arr.Leuven;27883;62.51
Aartselaar;Arr.Antwerpen;14292;10.93
Affligem;Arr.Halle-Vilvoorde;11880;17.70
Aiseau-Presles;Arr.Charleroi;10741;22.19
Alken;Arr.Tongeren;11049;28.14
Alveringem;Arr.Veurne;4887;80.01
Amay;Arr.Huy;13119;27.61
Ambleve;Arr.Verviers;5257;125.15
Andenne;Arr.Dinant;24252;86.17
Anderlecht;Gew.Brussel;95275;17.74
Anderlues;Arr.Thuin;11554;17.02
Anhee;Arr.Dinant;6910;65.67
Ans;Arr.Liege;27313;23.35
Anthisnes;Arr.Huy;4001;37.08
Antoing;Arr.Tournai;7534;31.13
Antwerpen;Arr.Antwerpen;460319;204.51
Anzegem;Arr.Kortrijk;13899;41.79
Ardooie;Arr.Tielt;9122;34.58
Arendonk;Arr.Turnhout;12175;55.38
Arlon;Arr.Arlon;26176;118.64
As;Arr.Hasselt;7488;22.07
Asse;Arr.Halle-Vilvoorde;29054;49.64
Assenede;Arr.Eeklo;13509;87.22
Assesse;Arr.Namur;6248;78.16
Ath;Arr.Ath;26711;126.95
Attert;Arr.Arlon;4644;70.94
Aubange;Arr.Arlon;14979;45.60
Aubel;Arr.Verviers;4056;18.83
Avelgem;Arr.Kortrijk;9418;21.75
Awans;Arr.Liege;8685;27.16
Aywaille;Arr.Liege;10697;79.97
Baarle-Hertog;Arr.Turnhout;2281;7.48
Baelen;Arr.Verviers;4052;85.73
Balen;Arr.Turnhout;20135;72.88
Bassenge;Arr.Liege;8360;38.17
